group_by_key,Unnamed: 0,Area(sq km),Birth rate(births/1000 population),Current account balance,Death rate(deaths/1000 population),Debt - external,Electricity - consumption(kWh),Electricity - production(kWh),Exports,GDP,GDP - per capita,GDP - real growth rate(%),HIV/AIDS - adult prevalence rate(%),HIV/AIDS - deaths,HIV/AIDS - people living with HIV/AIDS,Highways(km),Imports,Industrial production growth rate(%),Infant mortality rate(deaths/1000 live births),Inflation rate (consumer prices)(%),Internet hosts,Internet users,Investment (gross fixed)(% of GDP),Labor force,Life expectancy at birth(years),Military expenditures - dollar figure,Military expenditures - percent of GDP(%),Natural gas - consumption(cu m),Natural gas - exports(cu m),Natural gas - imports(cu m),Natural gas - production(cu m),Natural gas - proved reserves(cu m),Oil - consumption(bbl/day),Oil - exports(bbl/day),Oil - imports(bbl/day),Oil - production(bbl/day),Oil - proved reserves(bbl),Population,Public debt(% of GDP),Railways(km),Reserves of foreign exchange & gold,Telephones - main lines in use,Telephones - mobile cellular,Total fertility rate(children born/woman),Unemployment rate(%)
#,79.0,3976372.0,10.1,0.0,10.1,0.0,2661000000000.0,2888000000000.0,1109000000000.0,11650000000000.0,26900.0,2.4,0.0,0.0,0.0,4634810.0,1123000000000.0,2.4,5.2,2.1,22000414.0,206032067.0,19.5,215000000.0,78.2,0.0,0.0,467700000000.0,78100000000.0,297800000000.0,242600000000.0,3256000000000.0,14540000.0,5322000.0,15690000.0,2648000.0,28210000000.0,457030418.0,0.0,222293.0,0.0,238763162.0,314644700.0,1.48,9.5
A,9.0,1703543.0,15.818235294117649,-1640663529.4117646,7.40764705882353,30995400000.0,22890229411.764706,24056323529.411766,16130235294.117647,98493647058.82353,10500.0,4.1000000000000005,0.31235294117647056,1376.4705882352941,23947.058823529413,85857.23529411765,15004523529.411764,3.2588235294117647,35.06058823529412,5.2294117647058815,234589.41176470587,1081500.0,13.541176470588235,3744973.470588235,58.080588235294115,625087058.8235294,1.8758823529411766,5497647058.823529,4363352941.176471,496058823.5294118,9338882352.941177,478474470588.2353,115029.41176470589,32874.705882352944,46958.82352941176,223998.23529411765,2480834705.882353,9188509.352941176,15.052941176470588,5582.176470588235,6725058823.529411,1582770.5882352942,1866887.4705882352,2.139411764705882,7.135294117647058
B,29.5,497472.0833333333,18.294166666666666,720229166.6666666,9.062083333333334,13063316666.666666,22652797500.0,22528311666.666668,16955126666.666666,100884208333.33333,9916.666666666666,3.079166666666667,2.4791666666666665,5439.583333333333,83947.75,98775.45833333333,15199912500.0,4.116666666666666,33.28958333333333,4.070833333333334,142634.41666666666,877212.5,10.6,8666072.5,53.39291666666667,767713750.0,1.9170833333333333,4028840416.6666665,846833333.3333334,1818333333.3333333,3233465416.6666665,163525149583.33334,146235.0,28994.0,60467.916666666664,88946.04166666667,790904541.6666666,18665750.833333332,12.729166666666666,2334.8333333333335,3826391250.0,2227966.6666666665,2668319.7083333335,2.4066666666666667,9.183333333333334
C,53.0,1189752.2608695652,19.50086956521739,2138014782.6086957,8.355217391304349,44203408695.652176,100100070434.78261,116402036956.52174,45228248260.86957,399287347826.087,6571.086956521739,4.895652173913044,2.02,13632.391304347826,177468.47826086957,172158.69565217392,41590591304.347824,3.9434782608695653,35.84739130434782,3.5173913043478264,175526.08695652173,5285439.521739131,14.304347826086957,37110754.13043478,53.818260869565215,3856434782.6086955,1.77,4864304347.826087,3979173913.0434785,1072521739.1304348,9197826086.956522,191629239130.43478,358754.347826087,79324.78260869565,165860.86956521738,336196.47826086957,8741928260.869566,67570719.13043478,19.47826086956522,6720.869565217391,31449131304.347828,13177005.0,13564318.47826087,2.614347826086956,10.747826086956522
D,67.0,23141.8,18.07,1458240000.0,8.796,5994500000.0,8154604000.0,9242282000.0,15740000000.0,46216600000.0,9060.0,1.26,0.96,1738.0,20420.0,17623.4,14461240000.0,-0.6599999999999999,31.044,11.879999999999999,257101.0,655000.0,7.74,635400.0,52.525999999999996,696040000.0,1.4,1056000000.0,620000000.0,0.0,1676000000.0,16396000000.0,71780.0,66420.0,64980.0,69240.0,246000000.0,2985620.2,20.72,969.0,7681200000.0,909020.0,1387620.0,2.3920000000000003,19.240000000000002
E,74.0,293645.44444444444,24.83777777777778,-95922222.22222222,8.383333333333333,7464888888.888889,18246691111.11111,19713476666.666668,3435137777.7777777,53119333333.333336,3544.4444444444443,5.911111111111111,1.4111111111111112,14607.777777777777,181744.44444444444,24128.555555555555,4911777777.777778,7.044444444444444,43.55,4.977777777777778,10430.444444444445,483333.3333333333,19.566666666666666,3183333.3333333335,56.96111111111111,447300000.0,3.244444444444445,2516666666.6666665,0.0,141111111.1111111,2375555555.5555553,161276666666.66666,87222.22222222222,43000.0,0.0,179788.88888888888,852412666.6666666,19788757.777777776,22.11111111111111,917.4444444444445,2227352222.2222223,1332777.7777777778,1151333.3333333333,3.2577777777777777,13.100000000000001
F,83.5,127501.625,12.122499999999999,1385625000.0,5.33625,3931512500.0,61872640000.0,75252395000.0,60192250000.0,237572375000.0,17050.0,2.3375,0.07500000000000001,162.5,15262.5,122380.875,58523750000.0,1.4625,5.9,2.0374999999999996,452693.75,3083525.0,4.6875,3831393.75,57.46,5884262500.0,0.8500000000000001,5820875000.0,215625000.0,5603375000.0,237250000.0,1607500000.0,282381.25,63825.0,324912.5,4365.0,18037500.0,8411111.75,14.3125,4827.875,10241250000.0,4585537.5,5843987.5,1.6975,7.675000000000001
G,96.5,214007.44444444444,21.844444444444445,3522370555.5555553,8.867222222222223,5133083333.333333,32817144444.444443,35163572777.77778,51207844444.44444,153174555555.55554,10905.555555555555,2.6722222222222225,1.6444444444444446,2888.8888888888887,39222.22222222222,26960.277777777777,44084138888.888885,1.7999999999999998,30.602777777777778,4.344444444444445,162518.83333333334,2325227.777777778,11.127777777777778,3834599.4444444445,63.904444444444444,2304722222.2222223,0.8772222222222222,5711722222.222222,429500000.0,4896555555.555555,1176388888.8888888,20730994444.444443,196883.33333333334,5600.777777777777,144627.77777777778,21055.11111111111,149641944.44444445,8351465.277777778,13.283333333333333,2994.3888888888887,6088133333.333333,3448709.722222222,4332074.666666667,2.937222222222222,11.327777777777778
H,109.0,33482.28571428572,11.994285714285715,1019952857.1428572,5.482857142857142,68737857142.85715,11255100000.0,10546285714.285715,46359300000.0,59234285714.28571,7628.571428571428,1.7857142857142858,1.0857142857142856,4057.1428571428573,49771.42857142857,25594.571428571428,48428142857.14286,2.6142857142857143,16.330000000000002,5.1000000000000005,139573.85714285713,723057.1428571428,9.942857142857141,1968571.4285714286,38.901428571428575,172371428.57142857,0.5785714285714285,2007271428.5714285,571428.5714285715,1466842857.142857,461571428.5714286,7207142857.142858,62528.57142857143,6740.0,19514.285714285714,5884.285714285715,15814285.714285715,4571895.428571428,19.214285714285715,1233.7142857142858,19992091428.57143,1131457.142857143,2081528.5714285714,1.5885714285714285,5.871428571428572
I,116.5,973422.75,18.4575,-1320512500.0,7.0725,174941625000.0,139715250000.0,144302625000.0,83180250000.0,828334125000.0,16262.5,10.225,0.2625,39312.5,673440.0,460840.875,75712125000.0,5.3,25.673750000000002,7.4625,289200.75,6595125.0,19.525000000000002,81553512.5,73.66624999999999,7732850000.0,2.525,28523625000.0,5395125000.0,7885500000.0,24751875000.0,4147602625000.0,926587.5,624018.75,340321.25,1005317.5,31811065000.0,185627920.25,52.5125,12777.875,35844625000.0,12957600.0,13397750.0,2.3537500000000002,10.1625
J,64.5,60203.375,7.18125,21196562500.0,3.2675,1660500000.0,123071637500.0,132199500000.0,67959875000.0,473153750000.0,9750.0,1.2374999999999998,0.175,237.5,4325.0,149778.125,51628000000.0,1.2,4.77625,2.6,1620838.125,7282125.0,8.45,8696598.75,39.365,5916525000.0,2.0,10088750000.0,0.0,9716250000.0,351125000.0,2909500000.0,682375.0,11670.0,693625.0,2171.25,3716875.0,16999997.625,49.525,3060.25,83932125000.0,9036237.5,11180662.5,0.9525,4.45
K,72.5,467012.75,19.6625,4779232500.0,6.9175,27727750000.0,53972938750.0,58946500000.0,37620087500.0,145704250000.0,6662.5,3.9,0.9025000000000001,18825.0,153587.5,36091.5,30692262500.0,3.125,26.985,3.4375,92531.375,3823875.0,11.5375,6997233.75,58.57875,3050000000.0,1.4625,5742000000.0,1376250000.0,3975750000.0,2539500000.0,418500000000.0,339323.75,436262.5,290187.5,440125.0,15312500000.0,15991909.5,17.3625,3148.5,27847712500.0,3409187.5,4710400.0,2.51625,9.225
L,81.0,253444.44444444444,21.396666666666665,496215555.5555556,11.615555555555556,4734666666.666667,5950400000.0,6478533333.333333,5631222222.222222,19582222222.22222,13955.555555555555,7.5,4.022222222222222,4155.555555555556,49322.22222222222,30204.0,6217188888.888889,5.4,41.48777777777778,5.333333333333333,17733.666666666668,268188.8888888889,15.922222222222224,1194522.2222222222,65.76555555555555,270500000.0,1.5555555555555556,1192777777.7777777,85555555.55555555,591888888.8888888,686666666.6666666,146777777777.77777,55222.22222222222,70.44444444444444,5633.333333333333,169177.11111111112,4222222222.2222223,3060790.0,24.855555555555558,607.3333333333334,5259477777.777778,375522.22222222225,544244.4444444445,2.802222222222222,22.922222222222224
M,73.88235294117646,307610.85294117645,24.302941176470586,544944117.6470588,9.481176470588236,9768470588.235294,11292658058.82353,12175358823.529411,13624845294.117647,53115464705.882355,8194.117647058823,3.7147058823529413,1.4941176470588236,9617.64705882353,116376.4705882353,24609.20588235294,12941629411.764706,2.432352941176471,39.495294117647056,4.176470588235294,47022.029411764706,878676.4705882353,9.129411764705882,3376630.617647059,64.85411764705883,370929411.7647059,1.342941176470588,3522352941.1764708,1318235294.1176472,291176470.5882353,4550882352.941176,145422805882.35294,91543.5294117647,68349.91176470589,6352.941176470588,147986.5294117647,726470588.2352941,9139682.205882354,22.75588235294118,1075.0,5839105882.3529415,896708.8235294118,1875746.1764705882,3.2273529411764708,11.664705882352942
N,56.0,262781.6,19.019333333333336,3426146666.6666665,7.844666666666667,5957447866.666667,18083106000.0,18893946666.666668,28570885146.666668,64348773333.333336,10213.333333333334,2.066666666666667,1.9333333333333333,22286.666666666668,264660.0,39075.86666666667,22944138666.666668,1.7466666666666666,27.663999999999998,2.72,373566.0,930733.3333333334,8.360000000000001,5376383.4,52.552,1031120000.0,0.7799999999999999,4544933333.333333,7174000000.0,1385333333.3333333,10302266666.666666,500406000000.0,107709.33333333333,327663.86666666664,168034.66666666666,383624.0,2935778666.6666665,13412007.533333333,15.933333333333334,1119.1333333333334,2799000000.0,1121188.8,1538580.0,2.4306666666666668,15.26
O,64.0,212460.0,36.73,2674000000.0,3.86,4814000000.0,9792000000.0,9896000000.0,13140000000.0,38090000000.0,13100.0,1.2,0.1,200.0,1300.0,34965.0,6373000000.0,-1.2,19.51,0.2,726.0,180000.0,13.5,920000.0,73.13,252990000.0,11.4,6340000000.0,7430000000.0,0.0,13770000000.0,829700000000.0,54000.0,721000.0,0.0,775000.0,5500000000.0,3001583.0,10.3,0.0,4144000000.0,233900.0,464900.0,5.84,15.0
P,70.5,312637.25,17.486666666666668,-621463333.3333334,6.1475,42307666666.666664,25626916666.666668,33757666666.666668,19804166666.666668,143042833333.33334,6941.666666666667,3.0500000000000003,0.26666666666666666,991.6666666666666,21283.083333333332,83833.91666666667,19655500000.0,3.3166666666666664,21.84,3.4,107265.5,1777916.6666666667,12.383333333333333,10283321.666666666,59.49166666666667,1058133333.3333334,1.2258333333333333,3455583333.3333335,3416666.6666666665,997083333.3333334,2491125000.0,132350000000.0,158201.66666666666,10902.5,90250.0,20490.0,97725000.0,28856140.5,39.06666666666667,3343.0,8198816666.666667,2314166.75,4275700.916666667,2.285833333333333,8.133333333333333
Q,77.0,11437.0,15.54,5187000000.0,4.61,18620000000.0,9046000000.0,9727000000.0,15000000000.0,19490000000.0,23200.0,8.7,0.09,0.0,0.0,1230.0,6150000000.0,10.0,18.61,3.0,221.0,126000.0,22.9,140000.0,73.67,723000000.0,10.0,15860000000.0,18200000000.0,0.0,32400000000.0,14410000000000.0,30000.0,0.0,0.0,790000.0,16000000000.0,863051.0,0.0,0.0,3351000000.0,184500.0,376500.0,2.87,2.7
R,79.5,4335388.75,20.09,10549125000.0,12.015,48872500000.0,238269750000.0,243215675000.0,46580945000.0,398625000000.0,6200.0,4.55,1.575,7837.5,279125.0,187314.5,31025000000.0,4.35,35.2075,7.025,153294.0,2543750.0,15.600000000000001,21599975.0,64.84,258775000.0,1.4175,106075000000.0,42750000000.0,9525000000.0,147800000000.0,11784855000000.0,646775.0,1527500.0,0.0,2137000.0,17513750000.0,43742013.5,12.95,24635.5,35230225000.0,10030800.0,6283150.0,2.6475,12.65
S,96.5,276409.9,18.762666666666668,2883944666.6666665,8.405666666666667,33715090000.0,29094434666.666668,30921032666.666668,27318700000.0,92285610000.0,9066.666666666666,3.36,2.5036666666666667,14236.766666666666,211913.06666666668,53983.73333333333,24961980000.0,2.6599999999999997,27.048333333333336,4.1466666666666665,121006.83333333333,950650.0,11.853333333333333,3104939.033333333,61.97166666666667,1580546666.6666667,1.4729999999999999,3234466666.6666665,0.0,1048700000.0,2179933333.3333335,224254363333.33334,182713.66666666666,294353.0,80874.8,337410.63333333336,8865353000.0,8589786.833333334,31.25,2487.5333333333333,9823040666.666666,1635440.0,3044163.3333333335,2.509333333333333,11.163333333333332
T,118.5,223827.5,19.62142857142857,987489285.7142857,6.882142857142857,10908028571.428572,29510993571.42857,33065613571.42857,25121814142.857143,125748407142.85715,5957.142857142857,4.807142857142857,1.2857142857142858,16450.0,165028.57142857142,44624.0,26014130214.285713,6.857142857142857,36.736428571428576,4.564285714285715,233528.5,1965414.2857142857,13.428571428571429,7313054.142857143,57.205,1579157142.857143,1.5142857142857142,5357142857.142858,3978571428.571429,2148571428.571429,7547285714.285714,180186071428.57144,186750.0,3293.5714285714284,44035.71428571428,46345.0,275307142.85714287,15990885.0,19.49285714285714,1755.857142857143,24568407142.857143,2944407.1428571427,5925742.857142857,2.507142857142857,11.62857142857143
U,129.0,1631782.5714285714,20.27,-95574728571.42857,9.845714285714285,879040857142.8572,602835571428.5714,645433000000.0,178730242857.14285,2004431428571.4285,17000.0,6.414285714285714,0.9828571428571429,16214.285714285714,272571.4285714286,1010697.7142857143,285529571428.5714,8.514285714285714,28.198571428571427,4.742857142857143,16993236.57142857,27132457.14285714,14.785714285714286,32751428.57142857,70.01285714285714,59483171428.57143,2.3428571428571425,127510642857.14285,8257142857.142858,25323571428.57143,111585714285.71428,1923985714285.7144,3163892.8571428573,571142.8571428572,154857.14285714287,1758185.7142857143,20907428571.42857,66242962.28571428,37.471428571428575,39341.0,24257857142.857143,33027371.42857143,31045757.14285714,2.81,4.257142857142857
V,134.5,313540.5,18.31,3132250000.0,6.315,12480925000.0,30591907500.0,31315855000.0,14896650000.0,93870000000.0,7150.0,6.9,0.275,3275.0,82500.0,47945.5,10357000000.0,7.325,27.834999999999997,9.3,9038.25,1202975.0,12.375,13819725.0,71.58,584250000.0,1.0,7675000000.0,0.0,0.0,7675000000.0,1095650000000.0,187900.0,525000.0,0.0,739850.0,19662500000.0,27306329.75,27.25,820.5,8065000000.0,1829925.0,2313600.0,2.29,7.075000000000001
W,138.5,68035.25,8.0925,0.0,0.9975,27000000.0,20925000.0,22500000.0,51312500.0,465000000.0,1150.0,1.5,0.0,0.0,0.0,2705.0,375075000.0,0.0,4.905,0.55,0.0,36475.0,0.0,94000.0,18.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,668662.0,0.0,0.0,0.0,75875.0,120000.0,1.1,6.8
Y,141.0,527970.0,43.07,369900000.0,8.53,5400000000.0,2827000000.0,3040000000.0,4468000000.0,16250000000.0,800.0,1.9,0.1,0.0,12000.0,67000.0,3734000000.0,3.0,61.5,12.2,138.0,100000.0,16.1,5980000.0,61.75,885500000.0,7.8,0.0,0.0,0.0,0.0,480000000000.0,78000.0,370300.0,0.0,417500.0,4000000000.0,20727063.0,46.4,0.0,5300000000.0,542200.0,411100.0,6.67,35.0
Z,142.5,571597.0,35.56,-205850000.0,22.445,4719500000.0,8282500000.0,8503000000.0,1478500000.0,16889500000.0,1400.0,-1.7999999999999998,20.55,129500.0,1360000.0,54889.0,1559000000.0,-0.44999999999999973,77.99000000000001,75.65,3190.5,284100.0,25.65,4430000.0,38.185,161900000.0,3.05,0.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,12004392.5,89.9,2625.0,201000000.0,194650.0,310050.0,4.505,60.0
